,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
882,Nifty 100,NIFTY 100,2019-09-13,11122.0,11213.65,11071.1,11205.1
883,Nifty 100,NIFTY 100,2019-09-12,11185.5,11212.3,11096.45,11113.5
884,Nifty 100,NIFTY 100,2019-09-11,11147.9,11179.05,11129.45,11161.65
885,Nifty 100,NIFTY 100,2019-09-09,11059.35,11147.7,11015.3,11122.95
886,Nifty 100,NIFTY 100,2019-09-06,11011.5,11078.25,10989.5,11068.15
887,Nifty 100,NIFTY 100,2019-09-05,10983.05,11043.25,10945.8,10975.0
888,Nifty 100,NIFTY 100,2019-09-04,10919.95,10977.05,10861.95,10964.3
889,Nifty 100,NIFTY 100,2019-09-03,11092.1,11098.1,10900.45,10925.2
890,Nifty 100,NIFTY 100,2019-08-30,11110.1,11174.35,11002.2,11155.1
891,Nifty 100,NIFTY 100,2019-08-29,11107.6,11135.85,11034.3,11069.3
892,Nifty 100,NIFTY 100,2019-08-28,11212.85,11239.25,11096.7,11154.55
893,Nifty 100,NIFTY 100,2019-08-27,11201.8,11249.35,11154.5,11213.7
894,Nifty 100,NIFTY 100,2019-08-26,11098.75,11164.05,10852.45,11152.65
895,Nifty 100,NIFTY 100,2019-08-23,10797.25,10958.95,10730.9,10925.9
896,Nifty 100,NIFTY 100,2019-08-22,10999.1,11001.8,10815.45,10836.85
897,Nifty 100,NIFTY 100,2019-08-21,11119.05,11131.15,11000.75,11012.0
898,Nifty 100,NIFTY 100,2019-08-20,11169.0,11179.35,11083.9,11115.6
899,Nifty 100,NIFTY 100,2019-08-19,11200.25,11251.45,11144.0,11158.95
900,Nifty 100,NIFTY 100,2019-08-16,11141.95,11172.8,11029.1,11154.55
901,Nifty 100,NIFTY 100,2019-08-14,11096.7,11178.2,11036.1,11133.75
902,Nifty 100,NIFTY 100,2019-08-13,11248.0,11253.2,11004.9,11027.4
903,Nifty 100,NIFTY 100,2019-08-09,11198.95,11296.6,11175.9,11222.2
904,Nifty 100,NIFTY 100,2019-08-08,11017.0,11169.85,10960.75,11144.15
905,Nifty 100,NIFTY 100,2019-08-07,11070.05,11090.4,10951.3,10970.55
906,Nifty 100,NIFTY 100,2019-08-06,10923.0,11122.4,10921.45,11058.9
907,Nifty 100,NIFTY 100,2019-08-05,11001.6,11004.4,10887.45,10970.05
908,Nifty 100,NIFTY 100,2019-08-02,11030.05,11180.8,10944.4,11100.45
909,Nifty 100,NIFTY 100,2019-08-01,11164.05,11186.8,10981.95,11080.9
910,Nifty 100,NIFTY 100,2019-07-31,11129.45,11245.55,11089.2,11221.2
911,Nifty 100,NIFTY 100,2019-07-30,11313.0,11367.5,11167.1,11179.55
912,Nifty 100,NIFTY 100,2019-07-29,11413.85,11416.35,11252.95,11290.9
913,Nifty 100,NIFTY 100,2019-07-26,11350.35,11416.05,11312.75,11394.7
914,Nifty 100,NIFTY 100,2019-07-25,11381.75,11456.65,11339.45,11352.35
915,Nifty 100,NIFTY 100,2019-07-24,11429.55,11465.5,11322.8,11360.15
916,Nifty 100,NIFTY 100,2019-07-23,11480.85,11498.95,11408.25,11436.55
917,Nifty 100,NIFTY 100,2019-07-22,11493.8,11498.0,11397.8,11456.25
918,Nifty 100,NIFTY 100,2019-07-19,11736.75,11750.45,11498.95,11519.25
919,Nifty 100,NIFTY 100,2019-07-18,11787.0,11787.55,11688.25,11701.4
920,Nifty 100,NIFTY 100,2019-07-17,11780.6,11819.45,11762.7,11798.45
921,Nifty 100,NIFTY 100,2019-07-16,11698.55,11778.55,11677.15,11773.15
922,Nifty 100,NIFTY 100,2019-07-15,11712.65,11716.95,11634.65,11692.65
923,Nifty 100,NIFTY 100,2019-07-12,11697.1,11738.85,11641.45,11654.85
924,Nifty 100,NIFTY 100,2019-07-11,11655.4,11692.8,11613.05,11678.6
925,Nifty 100,NIFTY 100,2019-07-10,11635.5,11688.0,11570.45,11593.8
926,Nifty 100,NIFTY 100,2019-07-09,11626.45,11679.5,11553.45,11655.85
927,Nifty 100,NIFTY 100,2019-07-08,11858.7,11860.05,11613.8,11650.35
928,Nifty 100,NIFTY 100,2019-07-05,12063.9,12081.7,11888.6,11904.05
929,Nifty 100,NIFTY 100,2019-07-04,12027.0,12066.75,12022.9,12044.8
930,Nifty 100,NIFTY 100,2019-07-03,12025.2,12039.2,11981.45,12015.2
931,Nifty 100,NIFTY 100,2019-07-02,11983.45,12008.2,11910.7,12001.6
932,Nifty 100,NIFTY 100,2019-07-01,11932.85,11974.75,11925.7,11957.5
933,Nifty 100,NIFTY 100,2019-06-28,11951.4,11961.5,11867.9,11882.1
934,Nifty 100,NIFTY 100,2019-06-27,11941.9,11992.6,11912.1,11931.35
935,Nifty 100,NIFTY 100,2019-06-26,11844.35,11953.05,11833.55,11928.85
936,Nifty 100,NIFTY 100,2019-06-25,11762.4,11888.15,11732.65,11871.9
937,Nifty 100,NIFTY 100,2019-06-24,11807.05,11833.85,11754.15,11782.95
938,Nifty 100,NIFTY 100,2019-06-21,11893.6,11893.95,11783.85,11802.45
939,Nifty 100,NIFTY 100,2019-06-20,11718.15,11913.1,11695.15,11901.15
940,Nifty 100,NIFTY 100,2019-06-19,11814.05,11869.8,11686.95,11753.05
941,Nifty 100,NIFTY 100,2019-06-18,11748.45,11797.45,11711.85,11761.65
942,Nifty 100,NIFTY 100,2019-06-17,11916.4,11916.45,11729.0,11743.0
943,Nifty 100,NIFTY 100,2019-06-14,11991.15,11992.95,11874.8,11899.35
944,Nifty 100,NIFTY 100,2019-06-13,11960.05,12011.65,11897.15,11995.2
945,Nifty 100,NIFTY 100,2019-06-12,12050.0,12050.05,11953.25,11989.2
946,Nifty 100,NIFTY 100,2019-06-11,12042.45,12085.1,11984.1,12053.6
947,Nifty 100,NIFTY 100,2019-06-10,12019.5,12058.6,11959.55,12006.85
948,Nifty 100,NIFTY 100,2019-06-07,11951.65,11983.0,11854.25,11957.05
949,Nifty 100,NIFTY 100,2019-06-06,12141.85,12141.85,11921.1,11932.95
950,Nifty 100,NIFTY 100,2019-06-04,12155.8,12200.8,12108.15,12122.6
951,Nifty 100,NIFTY 100,2019-06-03,12061.15,12204.05,12024.8,12190.85
952,Nifty 100,NIFTY 100,2019-05-31,12092.45,12136.65,11935.9,12028.25
953,Nifty 100,NIFTY 100,2019-05-30,11968.55,12059.65,11963.6,12038.2
954,Nifty 100,NIFTY 100,2019-05-29,12014.85,12030.15,11939.6,11962.35
955,Nifty 100,NIFTY 100,2019-05-28,12059.95,12059.95,11970.25,12033.1
956,Nifty 100,NIFTY 100,2019-05-27,11950.55,12052.7,11908.75,12023.75
957,Nifty 100,NIFTY 100,2019-05-24,11832.9,11956.25,11755.9,11944.65
958,Nifty 100,NIFTY 100,2019-05-23,11974.75,12115.9,11704.75,11745.5
959,Nifty 100,NIFTY 100,2019-05-22,11806.65,11855.1,11760.1,11811.3
960,Nifty 100,NIFTY 100,2019-05-21,11940.55,11957.75,11759.65,11786.3
961,Nifty 100,NIFTY 100,2019-05-20,11734.55,11919.5,11672.1,11903.95
962,Nifty 100,NIFTY 100,2019-05-17,11344.7,11502.35,11340.55,11485.85
963,Nifty 100,NIFTY 100,2019-05-16,11274.5,11365.1,11229.75,11341.6
964,Nifty 100,NIFTY 100,2019-05-15,11363.45,11383.6,11232.4,11253.85
965,Nifty 100,NIFTY 100,2019-05-14,11250.05,11388.9,11201.2,11318.0
966,Nifty 100,NIFTY 100,2019-05-13,11371.2,11405.9,11228.05,11249.85
967,Nifty 100,NIFTY 100,2019-05-10,11427.4,11456.6,11364.8,11391.85
968,Nifty 100,NIFTY 100,2019-05-09,11435.0,11469.05,11368.6,11415.9
969,Nifty 100,NIFTY 100,2019-05-08,11591.15,11591.45,11459.0,11470.8
970,Nifty 100,NIFTY 100,2019-05-07,11760.9,11767.85,11597.35,11610.1
971,Nifty 100,NIFTY 100,2019-05-06,11723.7,11748.6,11684.25,11708.85
972,Nifty 100,NIFTY 100,2019-05-03,11843.35,11882.85,11814.05,11828.05
973,Nifty 100,NIFTY 100,2019-05-02,11851.45,11915.2,11823.5,11845.6
974,Nifty 100,NIFTY 100,2019-04-30,11879.75,11881.65,11782.65,11874.25
975,Nifty 100,NIFTY 100,2019-04-26,11829.8,11894.85,11806.65,11886.7
976,Nifty 100,NIFTY 100,2019-04-25,11880.0,11938.55,11770.2,11787.4
977,Nifty 100,NIFTY 100,2019-04-24,11750.75,11883.2,11726.6,11869.55
978,Nifty 100,NIFTY 100,2019-04-23,11765.5,11797.4,11716.5,11727.65
979,Nifty 100,NIFTY 100,2019-04-22,11885.05,11885.05,11735.75,11745.9
980,Nifty 100,NIFTY 100,2019-04-18,12013.7,12013.7,11894.65,11913.35
981,Nifty 100,NIFTY 100,2019-04-16,11902.0,11972.5,11898.0,11950.05
982,Nifty 100,NIFTY 100,2019-04-15,11833.0,11868.85,11812.25,11856.45
983,Nifty 100,NIFTY 100,2019-04-12,11775.4,11820.25,11746.8,11807.85
984,Nifty 100,NIFTY 100,2019-04-11,11752.0,11770.4,11713.95,11760.0
985,Nifty 100,NIFTY 100,2019-04-10,11803.1,11835.6,11731.2,11743.9
986,Nifty 100,NIFTY 100,2019-04-09,11768.3,11837.15,11721.3,11825.65
987,Nifty 100,NIFTY 100,2019-04-08,11856.15,11862.25,11706.8,11760.1
988,Nifty 100,NIFTY 100,2019-04-05,11794.05,11842.05,11767.1,11820.1
989,Nifty 100,NIFTY 100,2019-04-04,11813.55,11814.4,11711.0,11753.5
990,Nifty 100,NIFTY 100,2019-04-03,11886.5,11912.65,11780.55,11794.6
991,Nifty 100,NIFTY 100,2019-04-02,11873.5,11876.1,11814.0,11861.4
992,Nifty 100,NIFTY 100,2019-04-01,11834.85,11902.25,11809.0,11832.65
993,Nifty 100,NIFTY 100,2019-03-29,11776.25,11794.85,11727.3,11789.2
994,Nifty 100,NIFTY 100,2019-03-28,11614.3,11735.15,11603.7,11719.35
995,Nifty 100,NIFTY 100,2019-03-27,11682.0,11698.45,11567.5,11595.65
996,Nifty 100,NIFTY 100,2019-03-26,11527.25,11647.05,11510.15,11632.65
997,Nifty 100,NIFTY 100,2019-03-25,11551.15,11551.15,11464.75,11504.75
998,Nifty 100,NIFTY 100,2019-03-22,11706.4,11733.2,11592.95,11613.55
999,Nifty 100,NIFTY 100,2019-03-20,11717.7,11719.6,11663.7,11681.3
1000,Nifty 100,NIFTY 100,2019-03-19,11668.55,11706.55,11621.15,11696.5
1001,Nifty 100,NIFTY 100,2019-03-18,11641.25,11693.9,11580.95,11629.75
1002,Nifty 100,NIFTY 100,2019-03-15,11554.85,11653.05,11550.6,11595.05
1003,Nifty 100,NIFTY 100,2019-03-14,11566.3,11569.0,11494.9,11522.9
1004,Nifty 100,NIFTY 100,2019-03-13,11525.35,11540.55,11472.9,11527.2
1005,Nifty 100,NIFTY 100,2019-03-12,11441.0,11521.85,11436.7,11499.95
1006,Nifty 100,NIFTY 100,2019-03-11,11260.65,11387.35,11251.75,11375.7
1007,Nifty 100,NIFTY 100,2019-03-08,11225.35,11236.0,11194.05,11225.0
1008,Nifty 100,NIFTY 100,2019-03-07,11270.55,11278.4,11219.55,11244.05
1009,Nifty 100,NIFTY 100,2019-03-06,11218.4,11257.0,11197.35,11246.2
